placement,size,bandwidth_MBps
same_numa,1,29.78
same_numa,2,57.37
same_numa,4,120.32
same_numa,8,239.16
same_numa,16,493.07
same_numa,32,1014.91
same_numa,64,2071.32
same_numa,128,3870.03
same_numa,256,7800.92
same_numa,512,13700.90
same_numa,1024,21445.71
same_numa,2048,29270.24
same_numa,4096,29178.85
same_numa,8192,30761.68
same_numa,16384,33195.66
same_numa,32768,35282.91
same_numa,65536,36441.71
same_numa,131072,18009.72
same_numa,262144,8548.03
same_numa,524288,8512.06
same_numa,1048576,8455.08
diff_numa_same_socket,1,27.84
diff_numa_same_socket,2,56.03
diff_numa_same_socket,4,115.53
diff_numa_same_socket,8,248.49
diff_numa_same_socket,16,482.94
diff_numa_same_socket,32,1006.48
diff_numa_same_socket,64,1920.84
diff_numa_same_socket,128,3948.95
diff_numa_same_socket,256,8131.93
diff_numa_same_socket,512,13870.53
diff_numa_same_socket,1024,21963.84
diff_numa_same_socket,2048,29807.21
diff_numa_same_socket,4096,31294.22
diff_numa_same_socket,8192,31166.10
diff_numa_same_socket,16384,33879.51
diff_numa_same_socket,32768,36211.29
diff_numa_same_socket,65536,37156.50
diff_numa_same_socket,131072,19387.98
diff_numa_same_socket,262144,9114.91
diff_numa_same_socket,524288,9064.82
diff_numa_same_socket,1048576,9070.12
diff_socket_same_node,1,27.49
diff_socket_same_node,2,55.85
diff_socket_same_node,4,112.65
diff_socket_same_node,8,227.54
diff_socket_same_node,16,456.42
diff_socket_same_node,32,974.57
diff_socket_same_node,64,1965.36
diff_socket_same_node,128,3796.20
diff_socket_same_node,256,7753.92
diff_socket_same_node,512,13485.67
diff_socket_same_node,1024,21251.95
diff_socket_same_node,2048,28660.61
diff_socket_same_node,4096,29731.73
diff_socket_same_node,8192,30255.17
diff_socket_same_node,16384,33335.41
diff_socket_same_node,32768,34575.86
diff_socket_same_node,65536,35168.93
diff_socket_same_node,131072,14406.35
diff_socket_same_node,262144,7187.46
diff_socket_same_node,524288,7108.80
diff_socket_same_node,1048576,7197.26
inter_node,1,3.77
inter_node,2,7.56
inter_node,4,15.09
inter_node,8,30.28
inter_node,16,60.52
inter_node,32,122.01
inter_node,64,243.00
inter_node,128,428.73
inter_node,256,830.76
inter_node,512,1395.93
inter_node,1024,3145.76
inter_node,2048,6032.98
inter_node,4096,9411.70
inter_node,8192,10731.33
inter_node,16384,11255.66
inter_node,32768,11660.45
inter_node,65536,11459.16
inter_node,131072,11409.43
inter_node,262144,11853.90
inter_node,524288,11818.67
inter_node,1048576,11969.80
